1;0;KM Malta;0;20/08/2024 06:00;20/08/2024 07:45;MLA;FCO;168;30;692.4;
2;1;KM Malta;0;20/08/2024 08:00;20/08/2024 09:45;FCO;MLA;168;0;692.4;
3;4;KM Malta;0;20/08/2024 10:00;20/08/2024 12:45;MLA;LGW;168;100;2086.4;
4;5;KM Malta;0;20/08/2024 13:00;20/08/2024 15:45;LGW;MLA;168;90;2086.4;
5;6;KM Malta;0;20/08/2024 16:00;20/08/2024 18:30;MLA;AMS;168;50;1985.5;
6;7;KM Malta;0;20/08/2024 19:00;20/08/2024 21:30;AMS;MLA;168;82;1985.5;
7;0;KM Malta;0;21/08/2024 06:00;21/08/2024 07:45;MLA;FCO;168;30;692.4;
8;1;KM Malta;0;21/08/2024 08:00;21/08/2024 09:45;FCO;MLA;168;12;692.4;
9;8;KM Malta;0;21/08/2024 10:00;21/08/2024 12:30;MLA;CDG;168;40;1740.3;
10;9;KM Malta;0;21/08/2024 13:00;21/08/2024 15:30;CDG;MLA;168;50;1740.3;
11;12;KM Malta;0;21/08/2024 16:00;21/08/2024 18:30;MLA;MUC;168;60;1555.6;
12;13;KM Malta;0;21/08/2024 19:00;21/08/2024 21:30;MUC;MLA;168;70;1555.6;
13;10;KM Malta;1;22/08/2024 06:00;22/08/2024 08:30;MLA;BRU;180;40;1852.8;
14;11;KM Malta;1;22/08/2024 09:00;22/08/2024 11:30;BRU;MLA;180;50;1852.8;
15;6;KM Malta;1;22/08/2024 12:00;22/08/2024 14:30;MLA;AMS;180;55;1985.5;
16;7;KM Malta;1;22/08/2024 15:00;22/08/2024 17:30;AMS;MLA;180;59;1985.5;
17;4;KM Malta;0;22/08/2024 18:00;22/08/2024 20:45;MLA;LGW;168;65;2086.4;
18;5;KM Malta;0;22/08/2024 21:00;23/08/2024 23:45;LGW;MLA;168;68;2086.4;
19;8;KM Malta;0;23/08/2024 06:00;23/08/2024 08:30;MLA;CDG;168;75;1740.3;
20;9;KM Malta;0;23/08/2024 09:00;23/08/2024 11:30;CDG;MLA;168;80;1740.3;
21;12;KM Malta;0;23/08/2024 12:00;23/08/2024 14:30;MLA;MUC;168;85;1555.6;
22;13;KM Malta;0;23/08/2024 15:00;23/08/2024 17:30;MUC;MLA;168;89;1555.6;
23;10;KM Malta;1;23/08/2024 18:00;23/08/2024 20:30;MLA;BRU;180;95;1852.8;
24;11;KM Malta;1;23/08/2024 21:00;24/08/2024 23:30;BRU;MLA;180;100;1852.8;
25;6;KM Malta;1;24/08/2024 06:00;24/08/2024 08:30;MLA;AMS;180;105;1985.5;
26;7;KM Malta;1;24/08/2024 09:00;24/08/2024 11:30;AMS;MLA;180;110;1985.5;
27;4;KM Malta;0;24/08/2024 12:00;24/08/2024 14:30;MLA;LGW;168;115;2086.4;
28;5;KM Malta;0;24/08/2024 15:00;24/08/2024 17:30;LGW;MLA;168;120;2086.4;
29;8;KM Malta;0;24/08/2024 18:00;24/08/2024 20:30;MLA;CDG;168;125;1740.3;
30;9;KM Malta;0;24/08/2024 21:00;25/08/2024 23:30;CDG;MLA;168;130;1740.3;
31;12;KM Malta;0;25/08/2024 06:00;25/08/2024 08:30;MLA;MUC;168;135;1555.6;
32;13;KM Malta;0;25/08/2024 09:00;25/08/2024 11:30;MUC;MLA;168;140;1555.6;
33;10;KM Malta;1;25/08/2024 12:00;25/08/2024 14:30;MLA;BRU;180;145;1852.8;
34;11;KM Malta;1;25/08/2024 15:00;25/08/2024 17:30;BRU;MLA;180;150;1852.8;
35;6;KM Malta;1;25/08/2024 18:00;25/08/2024 20:30;MLA;AMS;180;155;1985.5;
36;7;KM Malta;1;25/08/2024 21:00;26/08/2024 23:30;AMS;MLA;180;160;1985.5;
37;0;KM Malta;0;26/08/2024 06:00;26/08/2024 07:45;MLA;FCO;168;30;692.4;
38;1;KM Malta;0;26/08/2024 08:00;26/08/2024 09:45;FCO;MLA;168;12;692.4;
39;2;KM Malta;0;26/08/2024 10:00;26/08/2024 12:30;MLA;VIE;168;50;1614.5;
40;3;KM Malta;0;26/08/2024 13:00;26/08/2024 15:30;VIE;MLA;168;55;1614.5;
41;8;KM Malta;0;26/08/2024 16:00;26/08/2024 18:30;MLA;CDG;168;60;1740.3;
42;8;KM Malta;0;26/08/2024 16:00;26/08/2024 18:30;MLA;CDG;168;60;1740.3;
43;9;KM Malta;0;26/08/2024 19:00;26/08/2024 21:30;CDG;MLA;168;50;1740.3;
44;12;KM Malta;0;27/08/2024 06:00;27/08/2024 08:30;MLA;MUC;168;70;1555.6;
45;13;KM Malta;0;27/08/2024 09:00;27/08/2024 11:30;MUC;MLA;168;65;1555.6;
46;10;KM Malta;1;27/08/2024 12:00;27/08/2024 14:30;MLA;BRU;180;80;1852.8;
47;11;KM Malta;1;27/08/2024 15:00;27/08/2024 17:30;BRU;MLA;180;70;1852.8;
48;6;KM Malta;1;27/08/2024 18:00;27/08/2024 20:30;MLA;AMS;180;90;1985.5;
49;7;KM Malta;1;27/08/2024 21:00;28/08/2024 23:30;AMS;MLA;180;85;1985.5;
50;4;KM Malta;0;28/08/2024 06:00;28/08/2024 08:30;MLA;LGW;168;100;2086.4;
51;5;KM Malta;0;28/08/2024 09:00;28/08/2024 11:30;LGW;MLA;168;95;2086.4;
52;8;KM Malta;0;28/08/2024 12:00;28/08/2024 14:30;MLA;CDG;168;83;1740.3;
53;9;KM Malta;0;28/08/2024 15:00;28/08/2024 17:30;CDG;MLA;168;80;1740.3;
54;0;KM Malta;0;28/08/2024 18:00;28/08/2024 19:45;MLA;FCO;168;75;692.4;
55;1;KM Malta;0;28/08/2024 20:00;28/08/2024 21:45;FCO;MLA;168;70;692.4;
56;2;KM Malta;0;29/08/2024 06:00;29/08/2024 08:30;MLA;VIE;168;90;1614.5;
57;3;KM Malta;0;29/08/2024 09:00;29/08/2024 11:30;VIE;MLA;168;85;1614.5;
58;10;KM Malta;1;29/08/2024 12:00;29/08/2024 14:30;MLA;BRU;180;100;1852.8;
59;11;KM Malta;1;29/08/2024 15:00;29/08/2024 17:30;BRU;MLA;180;95;1852.8;
60;4;KM Malta;0;29/08/2024 18:00;29/08/2024 20:30;MLA;LGW;168;80;2086.4;
61;5;KM Malta;0;29/08/2024 21:00;30/08/2024 23:30;LGW;MLA;168;75;2086.4;
62;8;KM Malta;0;30/08/2024 06:00;30/08/2024 08:30;MLA;CDG;168;90;1740.3;
63;9;KM Malta;0;30/08/2024 09:00;30/08/2024 11:30;CDG;MLA;168;85;1740.3;
64;12;KM Malta;0;30/08/2024 12:00;30/08/2024 14:30;MLA;MUC;168;95;1555.6;
65;13;KM Malta;0;30/08/2024 15:00;30/08/2024 17:30;MUC;MLA;168;90;1555.6;
66;6;KM Malta;1;30/08/2024 18:00;30/08/2024 20:30;MLA;AMS;180;105;1985.5;
67;7;KM Malta;1;30/08/2024 21:00;31/08/2024 23:30;AMS;MLA;180;100;1985.5;
68;0;KM Malta;0;31/08/2024 06:00;31/08/2024 07:45;MLA;FCO;168;95;692.4;
69;1;KM Malta;0;31/08/2024 08:00;31/08/2024 09:45;FCO;MLA;168;85;692.4;
70;2;KM Malta;0;31/08/2024 10:00;31/08/2024 12:30;MLA;VIE;168;79;1614.5;
71;3;KM Malta;0;31/08/2024 13:00;31/08/2024 15:30;VIE;MLA;168;70;1614.5;
72;10;KM Malta;1;31/08/2024 16:00;31/08/2024 18:30;MLA;BRU;180;77;1852.8;
73;11;KM Malta;1;31/08/2024 19:00;31/08/2024 21:30;BRU;MLA;180;73;1852.8;
74;4;KM Malta;0;01/09/2024 06:00;01/09/2024 08:30;MLA;LGW;168;60;2086.4;
75;5;KM Malta;0;01/09/2024 09:00;01/09/2024 11:30;LGW;MLA;168;50;2086.4;
76;6;KM Malta;1;01/09/2024 12:00;01/09/2024 14:30;MLA;AMS;180;45;1985.5;
77;7;KM Malta;1;01/09/2024 15:00;01/09/2024 17:30;AMS;MLA;180;40;1985.5;
